Año;Time End;Sexo;País;En caso de ser Español, ¿cuál  es su provincia de procedencia?;Con quién viaja (sólo una opción);Duración de la estancia en Madrid;Con quién viaja (sólo una opción) - Observaciones;Número de informadores turísticos que están atendiendo;¿Ha buscado información sobre la ciudad de Madrid antes de venir? ¿A través de qué medio? - Observaciones;Oferta de idiomas;Satisfacción con la infromación facilitada sobre Visitas Guiadas;Observaciones;¿Cómo ha localizado los SAIT?;¿Cuál es el motivo de su visita a la Ciudad de Madrid? - Observaciones;Trato y amabilidad;Conocimiento del idioma utilizado por parte del personal;Satisfacción con la información facilitada;Utilidad de la información facilitada;Tiempo de espera para ser atendido;Orden y limpieza;Localización de las instalaciones;¿Cuál es su nivel global de satisfacción con el Servicio de Atención e Información Turística?;Horario de atención al público;¿Volvería a utilizar este servicio?;Mobiliario (sólo Centros de Turismo);Iluminación (sólo Centros de Turismo);Contenido de los folletos;¿ En qué medio de transporte ha llegado a Madrid? - Observaciones;Plano de la ciudad;¿Ha buscado información sobre la ciudad de Madrid antes de venir? ¿A través de qué medio?;Ruido ambiental;Disponibilidad de folletos en el idioma del usuario;Edad;¿Cómo ha localizado los SAIT? - Observaciones;¿Cuál es el motivo de su visita a la Ciudad de Madrid?;Claridad del lenguaje utilizado;Adecuación de los folletos a la información solicitada;Distribución del espacio (sólo Centros de Turismo;Satisfacción con el Horario de atención al público;¿Qué instalaciones del Servicio de Atención e Información Turística ha visitado? (Seleccione todas las opciones que correspondan);¿ En qué medio de transporte ha llegado a Madrid?;Aspecto del personal de atención (vestimenta, aseo, identificación);Señalización informativa
2024;45371;Hombre;España;Vizcaya;Con amigos;Excursionista;;5;;7;NS/NC;;Los ha encontrado en su recorrido;;8;8;10;10;7;6;7;7;5;Sí;1;4;8;;8;No ha buscado información;5;8;25-44;;Tránsito;8;8;1;5;PIT del Aeropuerto T-4;Avión;8;5
2024;45371;Mujer;España;Madrid;Residente;Residente;;9;;10;NS/NC;;Los había visto anteriormente;;10;10;10;10;10;10;10;10;10;Sí;10;10;10;;NS/NC;No ha buscado información;10;10;+65;;Residente;10;10;10;10;PIT Palacio Real;Residente;10;10
2024;45371;Mujer;España;Navarra;En pareja;3 noches;;10;;10;10;;Los ha encontrado en su recorrido;;8;8;8;8;8;8;8;10;10;Sí;9;8;10;;10;No ha buscado información;5;10;45-64;;Ocio, recreo y vacaciones;8;10;8;8;PIT Palacio Real;Tren;10;8
2024;45371;Mujer;España;Barcelona;En pareja;De 4 a 7 noches;;9;;10;9;;Los ha encontrado en su recorrido;;8;8;9;9;9;10;10;10;9;Sí;10;10;10;;10;No ha buscado información;10;10;45-64;;Ocio, recreo y vacaciones;9;10;10;9;PIT Palacio Real;Tren;9;10
2024;45371;Mujer;Bulgaria;;Con amigos;3 noches;;3;;8;NS/NC;;Los ha encontrado en su recorrido;;9;9;9;9;8;8;8;8;8;Sí;8;7;8;;8;No ha buscado información;7;9;25-44;;Ocio, recreo y vacaciones;9;8;7;8;Centro de Turismo de la Plaza Mayor;Avión;9;7
2024;45371;Mujer;Francia;;Sólo;De 4 a 7 noches;;9;redes sociales;10;NS/NC;;Los ha encontrado en su recorrido;;10;10;10;10;10;10;10;10;10;Sí;NS/NC;10;10;;10;Internet/web (Indicar páginas);2;10;15-24;;Ocio, recreo y vacaciones;10;10;NS/NC;10;PIT del Paseo del Prado;Avión;10;NS/NC
2024;45371;Hombre;Estados Unidos;;Con amigos;De 1 a 2 semanas;;6;;8;NS/NC;;Los ha encontrado en su recorrido;;9;10;10;10;7;7;6;7;4;Sí;3;6;7;;7;No ha buscado información;5;7;45-64;;Ocio, recreo y vacaciones;10;6;3;5;PIT del Aeropuerto T-4;Avión;10;3
2024;45371;Mujer;España;Madrid;Residente;Residente;;5;;10;NS/NC;;Los había visto anteriormente;;10;10;10;10;5;5;10;7;10;Sí;NS/NC;NS/NC;10;;10;No ha buscado información;5;10;+65;;Residente;10;10;NS/NC;10;PIT Cuesta de Moyano;Residente;NS/NC;10
2024;45371;Mujer;España;Orense;En familia;2 noches;;3;;NS/NC;NS/NC;;Los ha encontrado en su recorrido;;9;10;10;9;8;8;8;8;8;Sí;8;7;8;;8;No ha buscado información;7;8;+65;;Ocio, recreo y vacaciones;10;8;8;8;Centro de Turismo de la Plaza Mayor;Coche particular;8;8
2024;45371;Mujer;España;Santa Cruz de Tenerife;En pareja;De 4 a 7 noches;;9;BLOGS;9;9;;Los ha encontrado en su recorrido;;9;9;9;9;9;8;8;8;9;Sí;NS/NC;NS/NC;9;;8;Internet/web (Indicar páginas);8;8;+65;;Ocio, recreo y vacaciones;9;8;NS/NC;8;PIT del Aeropuerto T-2;Avión;9;7
2024;45371;Hombre;Argentina;;Sólo;De 4 a 7 noches;;7;;8;NS/NC;;Los ha encontrado en su recorrido;;10;10;10;10;8;3;6;9;5;Sí;3;3;9;;8;No ha buscado información;3;9;25-44;;Ocio, recreo y vacaciones;10;8;4;3;PIT del Aeropuerto T-4;Avión;10;3
